Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Varsham,2004,NA,"Action, Comedy, Romance            ",    Venkat and Sailaja are youngsters at Warangal who fall in love. Bhadranna is the most dreaded and ruthless landlord in Nizam area. Bhadranna also likes Sailaja and wants to marry her. Ranga...                See full summaryÂ Â»,159,7.1,1139,Sobhan,Prabhas, Trisha Krishnan
Run Raja Run,2014,U/A,"Comedy, Drama            ","    A cheated police officer who has been involved in a scam by his co-officer, goes to jail. His son seeks revenge with an extremely thrilling plan along with his friend.",137,7.4,1131,Sujith,Sharwanand, Seerat Kapoor
Eedo Rakam Aado Rakam,2016,NA,"Comedy, Romance            ",    What happens when the lives of two friends take an unexpected turn? A whole lot of confusion follows. Will they be able to get out of the mess? That forms the crux of the story.,129,7,1123,G. Nageshwara Reddy,Manchu Vishnu, Raj Tarun
Asthram,2006,U,"Action, Crime, Thriller            ","    The story of an honest and strict IPS officer who wants to bring all criminals to justice and wishes to purge the country completely of terrorism, since his family was also once a victim of a terrorist attack.",140,5.8,1117,Suresh Krissna,Vishnu Manchu, Anushka Shetty
Ready,2008,NA,"Action, Comedy            ",    A case of mistaken identity leads a college student to abduct a young woman from her wedding ceremony.,165,7.2,1105,Sreenu Vaitla,Ram, Genelia D'Souza
Sree,2005,NA,Action            ,"    A son gets involved in a land feud to protect his beloved, and ends up taking revenge for his father's death.",135,5.3,1097,Dasaradh,Uday Kiran, Anita Hassanandani
Aadi,2002,A,"Action, Drama, Romance            ","    Aadi Keshava Reddy, a youngster, returns to his homeland after 14 years to take revenge on Nagi Reddy who killed his family.",157,7.2,1096,V. V. Vinayak,NTR Jr., Keerthi Chawla
Jhummandi Naadam,2010,NA,Drama            ,    Balu (Manoj Kumar Manchu) loves music very much. He wants to become a famous musician. He left his village and came to Hyderabad to fulfill his dream. He rented a house across the house of ...                See full summaryÂ Â»,145,5.3,1094,K. Raghavendra Rao,Manoj Manchu, Taapsee Pannu
Pandurangadu,2008,UA,"Drama, Fantasy            ",    A playboy in the medieval times discovers his divinity towards Lord Krishna.,156,5.2,1086,K. Raghavendra Rao,Balakrishna, Sneha
Naani,2004,NA,Romance            ,"    Naani is an 8 year old boy who attempts suicide, but is rescued by a scientist who changes his life completely with his invention. The boy had no clue that this will transform his life and teach him how to be a good son, lover and father.",155,5.2,1084,S. J. Surya,Mahesh Babu, Amisha Patel
Game,2006,UA,Thriller            ,"    A cabbie and a businessman, both in need of big money, partake in a two-hour adventure together.",130,5.1,1080,Ramprasad G,Arjun Sarja, Manisha Koirala
Shatamanam Bhavati,2017,U,Drama            ,    The anguish that negligent children can cause is depicted here from the parents' perspective.,129,7,1077,Satish Vegesna,Sharwanand, Anupama Parameswaran
Mass,2004,UA,"Action, Drama            ",    A man taking revenge on the killers of his loyal friend.,170,6.4,1068,Raghava Lawrence,Nagarjuna, Jyothika
Swamy Ra Ra,2013,UA,Crime            ,    A small time crook faces a big time challenge: he must fight to retrieve a priceless article and win the heart of his love.,120,7.3,1057,Sudheer Verma,Nikhil Siddharth,Swathi Reddy
Ekkadiki Pothavu Chinnavada,2016,NA,"Comedy, Fantasy, Romance            ","    Arjun(Nikhil) is a visual effect supervisor with a bad love failure. One fine day, he takes his friend(Vennela Kishore) for treatment as the latter is possessed by an evil spirit. There he ...                See full summaryÂ Â»",140,7.5,1056,Vi Anand,Nikhil Siddharth, Hebah Patel
Chi La Sow,2018,U,"Comedy, Romance            ","    While Arjun doesn't want to get married, his parents set up a blind date for him at his place. The story revolves around Arjun, how he falls for the girl he's about to meet, why and how he changed his decision to get married.",135,7.8,1054,Rahul Ravindhran,Sushanth, Ruhani Sharma
Kanchana 3,2019,UA,"Action, Comedy, Horror            ",    A young man who gets easily scared is possessed by a ghost that is seeking revenge.,164,4.2,1034,Raghava Lawrence,Raghava Lawrence, Oviya
Rakhi,2006,UA,"Action, Drama            ","    A common man after his sister death, he takes the law into his own hands and starts to kill men who harassing women.",173,6.3,1029,Krishna Vamsi,Jr. NTR, Ileana D'Cruz
Oh My Friend,2011,NA,Romance            ,    Age-old analysis on 'can a man and a woman be friends?',130,6.6,1015,Venu Sriram,Siddharth, Shruti Haasan
Balupu,2013,UA,"Action, Comedy            ",    Ravi (Ravi Teja) works as a collection agent of ICICI in Bangalore and leads a happy life along with his friends and his father Mohan Rao (Prakash Raj) who wishes to see Ravi married to a ...                See full summaryÂ Â»,145,6,1014,Gopi Chand Malineni,Ravi Teja, Shruti Haasan
Aadavari Matalaku Ardhalu Verule,2007,U,"Comedy, Drama, Romance            ","    Ganesh, an unemployed man, lands up in a company where Keerthi, the girl he loves, works but who is already engaged to someone else. Sudden incidents ruin his life and he again comes across her, but refuses to marry her.",157,7.4,1012,Selvaraghavan,Venkatesh, Trisha Krishnan
Prayanam,2009,NA,Romance            ,"    A boy meets a girl in an airport and falls in love with her, but he has only 2 hours to convince her.",130,7.1,996,Chandra Sekhar Yeleti,Manchu Manoj, Harika
Antariksham 9000 kmph,2018,U,"Adventure, Drama, Sci-Fi            ","    When a satellite stops communicating, the Indian Space Agency need to bring an engineer out of retirement to help them fix the situation.",140,6,994,Sankalp Reddy,Varun Tej, Aditi Rao Hydari
Konchem Ishtam Konchem Kashtam,2009,NA,Romance            ,    Siddhu always wears a smile on his face but he has sad past. Geeta joins his college. Both fall in love and are ready to get married. But Geeta's father refuses their love unless Siddhu tackle his Past problem.,165,7,992,Kishore Kumar Pardasani,Siddharth, Tamannaah Bhatia
Jamba Lakidi Pamba,1993,A,Comedy            ,    A woman living in Visakhapatnam hates male domination in society and reverses the characteristics of men and women with the help of a magical herb.,131,8.2,988,E. V. V Satyanarayana,Naresh, Aamani
Current Theega,2014,A,"Action, Comedy, Romance            ",    Current Theega is a Telugu Action Comedy Romance directed by G. Nageswara Reddy. The village headman Sivarama Raju (Jagapathi Babu) has three daughters and the youngest one is Kavitha. Raju...                See full summaryÂ Â»,128,5.6,978,G. Nageshwara Reddy,Manchu Manoj, Rakul Preet Singh
MalliRaava,2017,U,"Drama, Romance            ","    The love story of Karthik and Anjali, whose paths cross at three different phases of their lives.",129,8,973,Gowtam Naidu Tinnanuri,Sumanth, Aakanksha Singh
Saahasam Swaasaga Saagipo,2016,NA,"Action, Romance            ",    A youngster embarks on a road trip with the love of his life until an accident causes things to get out of control.,154,6.9,970,Gautham Vasudev Menon,Naga Chaitanya, Manjima Mohan
Premam,2016,UA,"Comedy, Drama, Romance            ",    Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,157,6.5,964,Chandoo Mundeti,Naga Chaitanya, Shruti Haasan
Johnny,2003,U,"Action, Drama            ",    A martial arts coach struggles to earn money through fights in order to save his wife suffering from blood cancer.,180,5.4,964,Pawan Kalyan,Pawan Kalyan, Renu Desai
King,2008,NA,"Action, Comedy, Crime            ",    A hoodlum look-alike assumes the identity of a noble man.,131,6.5,963,Sreenu Vaitla,Nagarjuna, Trisha Krishnan
NTR Mahanayakudu,2019,U,"Biography, Drama            ",    A follow up to NTR: Kathanayakudu which was based on N.T. Rama Rao's life and acting career. This movie will focus on his political career.,128,5.4,946,Krish Jagarlamudi,Nandamuri Balakrishna, Vidya Balan
PSV Garuda Vega,2017,UA,"Action, Drama            ","    A hacker tries to sell sensitive data related to a scam and an NIA officer accidentally gets involved, saving him from getting killed.",150,7.9,945,Praveen Sattaru,Rajasekhar, Adith Arun
Uu Kodathara Ulikki Padathara,2012,NA,"Action, Drama, Fantasy            ","    With the help of a young man, a ghost get its revenge for its death.",0,4.9,933,Sekhar Raja,Manoj Manchu, Deeksha Seth
Mr. Nookayya,2012,A,"Action, Comedy            ","    Nookayya (Manoj Manchu), who calls himself Nokia, is an expert cell phone thief. He has a good heart though and together with his friends Nampally (Paruchuri Venkateswara Rao) and Charger (...                See full summaryÂ Â»",140,6.3,928,Ani Kanneganti,Manoj Manchu, Kriti Kharbanda
Mirapakai,2011,UA,"Action, Comedy, Drama            ","    Rishi sends to Hyderabad and join in a college as a Hindi lecturer as a part of an undercover operation. He fall in love with her student Vinamra. Rishi has to extract information about Kittu from Vaishali, another student.",160,6.3,916,Harish Shankar,Ravi Teja, Deeksha Seth
Nenu Meeku Telusa...?,2008,NA,Thriller            ,"    Adi, a wealthy man, loses his memory in an accident, which also leaves his father dead. He is then arrested for the murder of his uncle, but he has no recollection to prove his innocence.",132,6.9,916,Ajay Sastry,Manoj Manchu, Sneha Ullal
Satya 2,2013,A,"Action, Crime, Drama            ","    To build a strong underworld, a man comes to Mumbai to rectify the errors made by previous mafia leaders.",142,6,915,Ram Gopal Verma,Punit Singh Ratn, Anaika Soti
Pooja,2014,UA,"Action, Drama            ","    Vasu, a moneylender, foils a planned attempt to kill a police officer by a gang. This sets the gang's leader, Thaandavam, and his goons against him who find out later that Vasu and his family need to be eradicated on more than one count.",154,5,912,Hari ,Vishal, Shruti Haasan
Sakthi,2011,A,"Action, Fantasy            ","    While on a trip, a guide starts protecting the central minister's daughter from some Egyptians who want her and a holy diamond in their custody.",161,3.5,909,Meher Ramesh,Jr. NTR, Ileana D'Cruz
Uyyala Jampala,2013,U,"Drama, Family, Romance            ","    A romantic entertainer between a ""bava"" and a ""maradalu"" set in a contemporary coastal town.",124,7.2,904,Virinchi Varma,Raj Tarun, Avika Gor
Khadgam,2002,UA,"Action, Crime, Drama            ","    Koti, an aspiring actor, rickshaw driver Amjad and Radha Krishna, a cop, have all been affected by terrorism. Circumstances bring them together and they decide to foil the plan of a dreaded terrorist.",142,7.7,901,Krishna Vamsi,Srikanth,Sonali Bendre
Major Chandrakanth,1993,NA,"Action, Drama, Thriller            ",    Major Chandrakanth (NTR) is a sincere military soldier and freedom fighter who always fights for justice. He retires from the military and returns home to his family in Hyderabad. His son ...                See full synopsisÂ Â»,156,7.3,899,K. Raghavendra Rao,Mohan Babu,Ramya Krishnan
Manu,2018,A,"Mystery, Romance, Thriller            ","    Photographer Neela and artist Manu share a unique association - their relationship is the only bright spot in their lives and one that gives them hope. However, destiny has other ideas.",180,8,891,Phanindra Narsetti,Raja Goutham, Chandini Chowdary
Hyderabad Blues,1998,A,"Comedy, Drama, Romance            ","    The protagonist of Hyderabad Blues is Varun, played by the director, Nagesh Kukunoor. The movie revolves around his visit home after 12 years in the USA and his resulting culture shock.",85,7.2,891,Nagesh Kukunoor,Nagesh Kukunoor, Rajshri Nair
Bunny,2005,U,"Action, Drama            ","    Prior to his marriage, a young man asks for the property of his fiancee's father, a millionaire, to be written in his name.",139,5.7,890,V. V. Vinayak,Allu Arjun, Gowri Munjal
Ragile Gundelu,1985,Unrated,Drama            ,"    After her boyfriend jilts her, a vengeful woman returns to wreak havoc in his married life.",127,4.4,888,Kodi Ramakrishna,Jagapathi Babu, Kaveri Jha
Sri Rama Rajyam,2011,NA,"Drama, Fantasy            ","    Lord Rama's life is one of perfect adherence to dharma (righteousness) despite harsh tests of life and time. Sri Rama Rajyam movie explains how poet Valmiki, the author of the epic Ramayana...                See full summaryÂ Â»",172,6.7,885,Bapu,Nandamuri Balakrishna, Nayanthara
Varudu,2010,UA,"Action, Drama, Thriller            ",    A soon to-be married bride is abducted by a man who is obsessed with her.,150,3.5,877,Gunasekhar,Allu Arjun, Bhanushree Mehra
Rakshasudu,2019,UA,"Action, Crime, Thriller            ",    A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally.,122,8.2,875,Ram Gopal Verma,Bellamkonda Sreenivas, Anupama Parameswaran
Gharshana,2004,A,"Action, Crime, Drama            ",    A vengeful gangster targets and terrorizes an entire police unit and their families.,159,7.3,872,Gautham Menon,Venkatesh, Asin
Gaganam,2011,U,"Action, Crime, Thriller            ",    It is up to Ravi (Nagarjuna) who has to rescue a flight from Chennnai to Delhi which is hijacked by Yousuf Khan 's men.,120,7.1,869,Radha Krishna Kumar,Nagarjuna, Prakash Raj
Amar Akbar Anthony,2018,NA,Action            ,    A man suffering from Dissociative Identity Disorder has to take revenge against four businessmen for the murder of his family while his past confronts him in the form of his childhood love.,153,4.3,868,Sreenu Vaitla,Ravi Teja, Ileana D'Cruz
Kathakali,2016,U,"Action, Thriller            ","    An honest, simple common man is caught in a web of problems when is he accused of killing the leader of a local rowdy gang.",125,6.5,868,Pandiraj,Vishal, Catherine Tresa
Krishnarjuna Yudham,2018,UA,"Action, Comedy            ",    A pair of look-a-likes hatch a plan to win over the women they love.,156,5.6,861,Merlapaka Gandhi,Nani, Anupama Parameswaran
Express Raja,2016,NA,"Action, Comedy, Romance            ","    After handing over his girlfriend's favorite dog to dog catchers, Raja loses his love. Now, Raja has to go on an adventurous quest to find the dog before its too late.",150,7.1,851,Merlapaka Gandhi,Sharwanand, Surabhi
Kuselan,2008,U,"Comedy, Drama, Family            ",    Kuselan revolves around the tale of a beautiful friendship between a popular actor and a poor barber.,165,4.7,849,P. Vasu,Rajinikanth,Meena
Don,2007,A,"Action, Crime, Drama            ",    A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.,154,5.5,835,Lawrence Raghavendra,Akkineni Nagarjuna, Anushka Shetty
Kantri,2008,NA,Action            ,"    An NRI returns to his village with his family with a mission to better the lives of the village natives. But in a sudden turn of events, the NRI is left helpless, as a fellow villager ...                See full summaryÂ Â»",166,4.9,832,Meher Ramesh,Jr. NTR, Hansika Motwani
Malli Malli Idhi Rani Roju,2015,UA,"Musical, Romance            ",    Malli Malli Idi Rani Roju is a feel good love story which stays within your heart.,161,7.5,831,Kranthi Madhav,Sharwanand, Nithya Menen
Raju Bhai,2007,NA,Drama            ,nan,139,5.9,831,Surya Kiran,Manchu Manoj, Sheela Kaur
Ayogya,2019,UA,"Action, Drama            ",    A corrupt police officer finds his life changing when he takes on a case of gang rape.,146,6.1,829,Venkat Mohan,Vishal, Raashi Khanna
Gudumba Shankar,2004,U,"Action, Comedy, Drama            ","    Shankar aka Gudumba Shankar, a petty-thief, falls in love with Gowri. When Shankar learns that Gowri and her family are harassed by powerful goon Kumaraswamy, he sets up a plot to fool kumaraswamy.",176,5.7,829,Veera Shankar,Pawan Kalyan, Meera Jasmine
Potugadu,2013,A,"Comedy, Drama            ","    Govinda Naama Sastry (Manoj Manchu) is a young man who decides to commit suicide. He goes to a lonely spot and decides to have one last drink. At about the same time, Venkata Rathnam (...                See full synopsisÂ Â»",125,5.7,826,Pavan Wadeyar,Manchu Manoj, Simran Kaur Mundi
Vastadu Naa Raju,2011,NA,"Action, Romance            ","    Narasimha (Prakashraj) is a local goon, who resorts to murders and extortion at the behest of Home Minister Adikesavulu (Sayaji Shinde). Narasimha""s life ambition is to become an MLA and ...                See full summaryÂ Â»",135,5.8,823,Hemant Madhukar,Vishnu Manchu, Taapsee Pannu
Dubai Seenu,2007,U,"Action, Comedy            ","    Seenu - Ravi Teja, is fondly called as Dubai Seenu. His sole aim in life is to fly to Dubai and earn tonnes of money. In the process, he gets hold of a broker and gets duped by him in Mumbai.",157,6.5,822,Sreenu Vaitla,Ravi Teja, Nayanthara
Sahasam,2013,UA,"Action, Adventure            ","    Gautham Varma, an A.T.M security guard, goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India - Pakistan partition.",150,6.6,817,Chandra Sekhar Yeleti,Gopichand, Taapsee Pannu
Dynamite,2015,NA,"Action, Thriller            ",    Dynamite is the official remake of Tamil film Arima Nambi. The story revolves around the kidnapping of a girl and how the hero tries to hunt down the criminals and save her.,142,6.6,813,Deva Katta,Vishnu Manchu, Pranitha Subhash
Alex Pandian,2013,U,Action            ,"    A Chief Minister's daughter is kidnapped for a price. They do not need money , but their demand is worse.",135,2.4,809,Suraj,Karthi, Anushka Shetty
Ragada,2010,A,"Action, Comedy            ",    A local village rowdy arrives in the city to earn money by any means and participates in a brawl between two rivals that brings him to their attention.,146,6.1,805,Veeru Potla,Nagarjuna, Anushka Shetty
Run,2016,U,"Action, Comedy, Drama            ",    Siva (Madhavan) comes to Madras from a small Tamil Nadu town to study. He instantly falls in love with elusive stranger Priya (Meera Jasmine) who resists his charms quite persistently. ...                See full summaryÂ Â»,180,7,802,Nagesh Kukunoor,Sundeep Kishan, Anisha Ambrose
Chalo,2018,NA,"Action, Comedy, Family            ","    Hari (Naga Shaurya)'s fascination is fights and disputes. He is always involved in one or the other fight just for the sake of it. In an interesting scenario, Hari is sent to a village ...                See full summaryÂ Â»",145,6.4,796,Venky Kudumula,Naga Shaurya, Rashmika Mandanna
Munna,2007,NA,Action            ,    Munna is a college student who targets Khakha a local gangster unaware of his father and also takes revenge on him for trafficking his own mother for money.,167,5.6,793,Vamsi Paidipally,Prabhas, Ileana D'Cruz
Disco Raja,2020,UA,"Action, Sci-Fi            ","    Attacked and frozen to death, a dead man is revived by a group of doctors with the help of a technology that brings back dead people alive.",141,6.4,792,VI Anand,Ravi Teja, Payal Rajput
Krishna and His Leela,2020,NA,"Comedy, Romance            ","    Torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit.",125,5.3,792,Ravikanth Perepu,Siddhu Jonnalagadda, Shraddha Srinath
Yeto Vellipoyindhi Manasu,2012,NA,"Drama, Romance            ",    The ups and downs of a romance between Varun and Nithya from childhood to adolescence.,153,7.3,790,Gautham Menon,Nani, Samantha 
Shankardada Zindabad,2007,U,Comedy            ,    Shankar Dada joins Mahatma Gandhi to fight against a property owner and works as a radio jockey to solve problems non-violently.,152,5.2,781,Prabhu Deva,Chiranjeevi, Karishma Kotak
Padi Padi Leche Manasu,2018,U,"Drama, Romance            ","    Set in Kolkata, the romantic drama chronicles the shared destiny of a young couple as they navigate through the highs and lows of a budding relationship.",158,6.4,778,Hanu Raghavapudi,Sharwanand, Sai Pallavi
Punya Bhoomi Naa Desam,1994,NA,Action            ,"    Punya Bhoomi Naa Desam is a 1994 Indian Telugu film, Directed by A Kodandarami and Produced by Mohan Babu The film Stars Mohan Babu, Meena and Dasari Narayana Rao in lead roles. The music of the film was composed by Bappi Lahiri.",140,6.4,775,A. Kodandarami Reddy,Krishna, Saroja Devi
Adavilo Anna,1997,NA,"Action, Drama            ","    Adavilo Anna is a 1997 Indian Telugu film, directed by B. Gopal and Produced by Mohan Babu. The film stars Mohan Babu, Roja, Manoj Kumar Manchu and Tanikella Bharani in lead roles. The ...                See full summaryÂ Â»",150,5.5,775,Ram Gopal Verma,Chiranjeevi, Soundarya
Ek Niranjan,2009,A,Action            ,"    A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",150,5.2,768,Puri Jagannadh,Prabhas, Kangana Ranaut
Annavaram,2006,UA,"Action, Drama            ",    This is the story of a brother who wanted to give his sister the best of everything.. a pure sentiment story on family.,175,4.8,768,Bhimaneni Srinivasa Rao,Pawan Kalyan, Asin
Bindaas,2010,NA,"Action, Drama, Family            ",    Ajay (Manoj Manchu) and his parents are estranged from their joint family in Rayalaseema. Ajay belongs to the family of Mahendra Naidu (Ahuti Prasad). Seshadri Naidu (Jaya Prakash Reddy) is...                See full summaryÂ Â»,143,6.8,767,Veeru Potla,Manoj Manchu, Sheena Shahabadi
Prema Katha Chitram,2013,NA,"Drama, Horror            ",    Three friends and a stranger go to a house and plan to commit suicide. But later they realize the house is haunted,130,7.1,766,J. Prabhakar Reddy,Sudheer Babu, Nandita Raj
Jagadeka Veerudu Athiloka Sundari,1990,U,"Action, Comedy, Family            ",    A man finds a ring that gives the bearer great power but the goddess to whom the ring belongs wants it back.,153,8,760,K. Raghavendra Rao,Chiranjeevi, Sridevi
Vismayam,2016,U,Drama            ,    The film narrates the life of four persons and their struggle for their survival in differnt situations..,164,7.7,759,Chandra Sekhar Yeleti,Mohanlal, Gautami
Missamma,1955,U,"Comedy, Drama, Family            ","    Two unemployed college graduates from Madras, Rao and Mary act as if they are a married couple to get a job as school teachers in a small village called Appapuram. The story unfolds into an...                See full summaryÂ Â»",181,8.5,754,Neelakanta,N. T. Rama Rao, Savitri
Gaddalakonda Ganesh,2019,UA,"Action, Thriller            ","    An aspiring filmmaker who wants to direct a realistic story, stumbles upon a menacing villain and to learn the nitty-gritties of the villain's character, he puts his and his friend's life on the line.",130,6.6,752,Harish Shankar,Varun Tej, Pooja Hegde
Oka Laila Kosam,2014,UA,"Comedy, Romance            ",    After his post-graduate studies Karthik takes a holiday in Europe. On his return journey he falls in love at first sight with Nandana.The rest of the movie deals with the extent to which he will go to win her heart.,150,6.1,749,Vijay Kumar Konda,Naga Chaitanya, Pooja Hegde
Venky Mama,2019,UA,"Action, Comedy, Drama            ",    A story of nephew and a son which revolves around their emotions and village drama and army based story.,149,5.5,748,K. S. Ravindra , Naga Chaitanya, Raashi Khanna
Kick 2,2015,UA,"Action, Comedy, Romance            ","    An NRI doctor returns to India to sell his property, but winds up falling in love.",170,5.1,747,Surender Reddy,Ravi Teja, Rakul Preet Singh
Gayatri,2018,UA,"Drama, Family            ","    Sivaji, a stage artist, finds whereabouts of his daughter who disappeared two decades ago and finds out that the kidnapper, Gayatri Patel, is an exact lookalike of him.",125,6.5,746,Madan Ramigani,Vishnu Manchu, Shriya Saran
180,2011,U,"Drama, Romance            ",    A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,121,6,742,Jayendra Panchapakesan,Siddharth, Priya Anand
Shourya,2016,UA,"Romance, Thriller            ",    Shourya and Netra who have eloped to get married get involved in a bigger complication when one of them gets viciously attacked along their way.,124,6.9,733,Dasaradh,Manchu Manoj, Regina Cassandra
Ashta Chamma,2008,U,Comedy            ,    Ashtachemma Lavanya (Colors Swati) is a hardcore fan of hero Mahesh Babu. And her ambition is to marry hero Mahesh. But her heart is broken when Mahesh married Namrata Sirodkar. She lowers ...                See full summaryÂ Â»,126,7.3,733,Mohan Krishna Indraganti,Nani, Swati Reddy
Sigappu Rojakkal,1978,A,"Drama, Thriller            ","    Kamal Haasan, the central character, is a man terribly soured by his unvaryingly devastating encounters with the opposite sex. He develops a pathological hatred for women and uses his charm...                See full summaryÂ Â»",129,7.8,732,Thirumugam,Kamal Haasan, Sridevi
LIE,2017,UA,"Action, Thriller            ","    Sathyam is hired by the National Investigation Agency to help catch Padmanabham, the master of disguise, by following a suit which he is assumed to have an obsession with.",145,5.9,730,Hanu Raghavapudi,Nithiin, Megha Akash
Power,2014,A,Action            ,    Ravi Teja plays a young man desperate to become a police officer. He winds up getting embroiled in a plot to pose as his lookalike in order to re-capture an infamous criminal from rogue cops.,147,5.8,730,K. S. Ravindra ,Ravi Teja, Hansika Motwani
Dev,2019,U,"Action, Adventure, Romance            ","    Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",157,4.8,727,Rajath Ravishankar,Karthi, Rakul Preet Singh
Pataas,2015,A,"Action, Comedy            ",    A corrupt cop gets himself transferred to Hyderabad where he has a change of heart while trying to teach his estranged but dutiful father a lesson.,127,6.7,727,Anil Ravipudi,Nandamuri Kalyan Ram, Shruti Sodhi
Okkadu Migiladu,2017,UA,Action            ,    Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,141,7.2,725,Ajay Andrews Nuthakki,Manoj Manchu, Anisha Ambrose
Majnu,2016,UA,"Comedy, Drama, Romance            ",    An assistant director juggles relationships with two women while he writes a romantic comedy.,138,6.4,725,Virinchi Varma,Nani, Anu Emmanuel
Srinivasa Kalyanam,2018,U,"Drama, Family            ","    ""Srinivasa Kalyanam"" illustrates the sacred bond with another human through nuptial rituals and the sanctity of the institution of marriage.",140,6,724,Satish Vegesna,Nithiin, Raashi Khanna
Luck Unnodu,2017,NA,Comedy            ,"    The ironically-named Lucky gets embroiled in a heist when a friend hands him a bag of cash, which was stolen from a don, who stole it from the bank, and will not rest until he recovers it.",118,5.6,724,Raaja Kiran,Vishnu Manchu, Hansika Motwani
Amma Nanna O Tamila Ammayi,2003,NA,"Action, Drama, Sport            ","    A former kick-boxer, after death of his wife, trains his son who hates him for boxing match for revenge on his former student.",154,7.3,715,Puri Jagannadh,Ravi Teja, Asin
Jayasurya,2015,U,"Action, Thriller            ",    A cop mistakenly believes that taking out three thugs will end Madurai's crime wave.,135,6,713,S. S. Rajamouli,Vishnu Manchu, Vijayashanti
Bangaram,2006,A,"Action, Drama            ","    In order to join an international news channel, a fired reporter tries to obtain his boss's signature on a character certificate but is forced by circumstances to help the latter's daughter elope from her wedding.",178,4.7,710,Dharani,Pawan Kalyan, Meera Chopra
Dora,2017,A,"Action, Horror, Thriller            ",    A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.,139,5.3,704,Doss Ramasamy, Harish Uthaman, Nayanthara
Don Seenu,2010,NA,"Action, Comedy            ","    To make himself known as a gang-leader, a man must woo the sister of a dangerous gangster.",164,6,704,Gopichand Malineni,Ravi Teja, Shriya Saran
Vunnadhi Okate Zindagi,2017,U,Drama            ,    It's about friendship between 2 friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival.,152,6.4,703,Kishore Tirumala,Ram Pothineni, Anupama Parameswaran
Krishnam Vande Jagadgurum,2012,UA,Action            ,"    In order to fulfill his promise to his grandfather, a man acts in a play in his native village, where he stumbles upon the truth about the death of his parents.",136,6.9,699,Krish Jagarlamudi,Rana Daggubati, Nayanthara
Killing Veerappan,2016,UA,"Action, Biography, Crime            ","    A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",151,7.3,697,Ram Gopal Verma,Shivajinagara, Parul Yadav
Gunturodu,2017,NA,"Action, Comedy            ",    A man and woman meet in college and are on their way to a lifetime of happiness when their plans get hijacked.,142,6.4,693,S. K. Satya,Manchu Manoj, Pragya Jaiswal
Mr. Majnu,2019,UA,Romance            ,    A charming playboy who has never had a serious relationship finds himself in a spot of bother when he finally meets the right girl. Will they end up together? Or will his fear of commitment affect their relationship?,145,6.1,692,Venky Atluri,Akhil Akkineni, Nidhhi Agerwal
Not Today,2013,PG-13,Drama            ,"    While on vacation with friends in Hyderabad, India, Caden Welles - a privileged young man with the world at his disposal - takes an unexpected turn in life after initially refusing to help a starving man and his daughter.",103,5.7,687,Jon Van Dyke,Nithiin, Megha Akash
Oy!,2009,NA,Romance            ,    Uday (Siddharth) is a rich and spoilt brat who believes in short term pleasures. Sandhya (Shamili) is a loner who lives on her own. She is a responsible girl with long term plans and strict...                See full summaryÂ Â»,166,6.7,687,Anand Ranga,Siddharth, Shamili
Nuvve.. Nuvve...,2002,NA,"Drama, Romance            ",    A rich Businessman is obsessed with his daughter who falls for a poor guy.,168,7.4,685,Trivikram ,Tarun, Shriya Saran
Loukyam,2014,UA,"Action, Comedy            ",    Venky tries to right his wrongs by involving his family and also convince the girls side without getting messed up in between.,150,6.4,672,Sriwass,Gopichand, Rakul Preet Singh
Swathi Muthyam,1986,U,"Drama, Family, Romance            ","    The story is of mentally slow man, whose life is recapped to his grand-daughter. How he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face.",160,8.3,672,K. Viswanath,Kamal Haasan, Radhika Sarathkumar
Life Is Beautiful,2012,U,"Drama, Romance            ","    It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, ...                See full summaryÂ Â»",167,6.4,671,Sekhar Kammula,Abijeet Duddala, Kaushik Darbha
Yuvaraju,2000,NA,Romance            ,"    A love traingle.Srinivas(Mahesh Babu) and Srivalli(SakshiSivanand) are college mates who fall in love and decide to get married.Twist in tale occurs when SriLatha(Simran),Childhood friend ...                See full summaryÂ Â»",165,5.7,671,YVS Chowdary,Mahesh Babu, Simran
