Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Chanakya,2019,UA,"Action, Thriller            ",    Arjun aka Ramakrishna is a RAW marshall from Delhi who has a 100% success rate at nabbing terrorists. What happens when he makes enemies out of India's most wanted Ibrahim Qureshi and his son Sohail?,147,5.5,302,Gopichand Malineni,Gopichand, Mehreen Pirzada
Kondaveeti Raja,1986,U,"Action, Drama            ",nan,140,6,301,K. Raghavendra Rao,Chiranjeevi, Vijayashanti
Ninu Veedani Needanu Nene,2019,U/A,Comedy            ,    Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.,123,5.9,300,Caarthick Raju,Sundeep Kishan, Anya Singh
E,2006,U,"Action, Drama, Thriller            ","    E along with his friend Tony (Karunas) carries out small crimes to earn money. E brought up in tough conditions, grows up as a tough, fearless and emotionless guy. Meanwhile; ...                See full summaryÂ Â»",150,6.4,299,Kuku Surendran,Jeeva, Nayanthara
Ramayanam,1996,U,History            ,"    The story dealt with Lord Rama and his retaliation over Ravana, in which all the characters played in the film were child artists",160,7.1,297,V.S. Vasu,Balakrishna, Soundarya
Meeku Matrame Chepta,2019,UA,Comedy            ,"    Rakesh, in an effort to woo his fiance, has promised her that he is a teetotaler. But when a compromising video of his leaks just two days before his wedding, all hell breaks loose.",120,6.2,297,Shammer Sultan,Tharun Bhascker Dhaassyam, Avantika Mishra
Jay Jay,2003,NA,Romance            ,    A different concept of destiny for a love story.,156,5.6,297,Saran,R. Madhavan, Amogha Varsha
Naaga,2003,NA,Action            ,nan,0,3.9,295,D.K. Suresh,Venkatesh, Nayanthara
Venkatadri Express,2013,U,"Adventure, Comedy            ",    A simple train journey to Tirupathi goes horribly awry for Sundeep (Sundeep) and Prarthana (Rakul) after they miss boarding the Venkatadri Express.,127,6.9,294,Merlapaka Gandhi,Sundeep Kishan, Rakul Preet Singh
Golkonda High School,2011,NA,"Drama, Family            ",    A school in financial trouble hires an ex-student with a chequered past to regain the glory of its once famous cricket program,130,6.8,294,Mohan Krishna Indraganti,Sivaji, Shruti Reddy
Khaidi No. 786,1988,U,"Action, Drama, Romance            ","    Gopi is an aspiring police constable and also a music master in a village. Radha is daughter of Arrogant Village head Surya Chandra Rao. Radha, in a fracas with Gopi, seeks revenge. But ...                See full summaryÂ Â»",144,6.6,293,K. V. Reddy,Chiranjeevi, Bhanupriya
Morning Raga,2004,NA,"Drama, Music            ","    Morning Raga is about the meeting of worlds. It is a story that brings the modern and traditional together, unites the past with present, Carnatic music with Western music, as never before ...                See full summaryÂ Â»",110,6.9,292,Mahi V. Raghav,Shabana Azmi, Perizaad Zorabian
Hitler,1997,U,"Action, Drama            ",    A protective and caring brother overcomes plethora of challenges to unite his family after understanding his father's side of story,152,6.4,292,Muthyala Subbaiah,Chiranjeevi, Rambha
Anjaneyulu,2009,A,"Action, Comedy, Crime            ",    A news reporter joins a gang incognito to expose corrupt politicians as well as find out who killed his parents.,143,4.8,291,Parasuram,Ravi Teja, Nayanthara
Khaidi Garu,1998,NA,Action            ,"    Khaidi Garu is a Indian Telugu film,directed by Om Sai Prakash and Produced by M Venkatadri Naidu and S Aadi Reddy. The film stars Mohan Babu, Krishnam Raju, Srihari and Laila in lead roles...                See full summaryÂ Â»",150,4,291,V.V. Vinayak,Chiranjeevi, Madhavi
Thimiru,2006,U,Action            ,    A young medical student is plagued by local toughs and must fight to see justice done.,155,5.7,290,Tarun Gopi,Vishal, Reema Sen
Loafer,2015,NA,"Action, Drama            ",    An evil father takes away his son from his wife and tries to corrupt the boy.,134,5.2,289,Puri Jagannadh,Varun Tej, Disha Patani
Collector Garu,1997,NA,"Action, Comedy, Drama            ","    With the help of a journalist, a honest district collector fights political corruption.",142,5.1,289,B. Gopal,Nandamuri Balakrishna, Vijayashanti
Tej I Love U,2018,U,Romance            ,"    Tej, a youngster who's highly attached to his family, is banished from his home by his uncle (Peddananna). He then finds himself in London, where he falls in love with Nandini. After long ...                See full summaryÂ Â»",122,5.4,288,A. Karunakaran,Sai Dharam Tej, Anupama Parameswaran
Winner,2017,UA,"Action, Drama            ",    A man who is separated from his family as a child is replaced by an interloper.,155,4.6,288,Gopichand Malineni,Sai Dharam Tej, Rakul Preet Singh
Anveshana,1985,A,"Mystery, Thriller            ",    The story of an Ornithologist and a Police investigator coming to a forest and trying to solve the mystery of a series of killings allegedly by a man-eating tiger.,113,7.5,285,Vamsy,Karan, Bhanupriya
Ism,2016,UA,Action            ,    Hackers and gangsters collide in this story about the fight against corruption.,132,5.8,284,Puri Jagannadh,Nandamuri Kalyan Ram, Aditi Arya
Abhinetri,2016,UA,"Comedy, Horror            ",    The Telugu version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Hindi version is Tutak Tutak Tutiya (2016) and the Tamil version is Devi(L) (2016),127,6.1,284,A.L. Vijay, Prabhu Deva,Tamannah
Allari Ramudu,2002,NA,"Action, Comedy, Drama            ",nan,0,4.3,284,G. Nageswara Reddy,Jr. NTR, Gajala
